term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf|anger|anticipation|disgust|fear|joy|negative|positive|sadness|surprise|trust|sentiment
safe|36|4|0.000186909094685|12.38537560962224|JJ|JJ|0|safe|111.4880861804516|41.50455173143354|0|0|0|0|1|0|1|0|0|1|1
save|86|4|0.0004465050595253|11.129035856362451|VB|VB|0|save|182.9761723609032|47.22346979092473|0|0|0|0|1|0|1|0|0|1|1
scare|12|5|6.23030315616774e-05|13.970338110343397|VBP|VB|0|scare|55.17065923127954|25.678649562361556|1|1|0|1|0|1|0|0|1|0|-1
scream|27|6|0.0001401818210137|12.800413108901084|NN|NN|0|scream|89.84162712452135|38.53264253036819|1|0|1|1|0|1|0|0|1|0|-1
screaming|17|9|8.826262804570965e-05|13.467837769814212|VBG|VB|0|scream|80.54660491499504|33.17931993562011|1|0|1|1|0|1|0|0|0|0|-1
serve|16|5|8.307070874890321e-05|13.55530061106455|VB|VB|0|serv|37.8720215451129|20.76902668039518|0|0|0|0|0|1|0|0|0|1|-1
shell|28|5|0.0001453737403105|12.747945689006947|NNP|NN|0|shell|111.4880861804516|38.53264253036819|1|0|0|1|0|1|0|1|1|0|-1
shit|33|4|0.0001713333367946|12.510906491706098|NN|NN|0|shit|131.3119053533804|44.35863987124021|1|0|1|0|0|1|0|0|0|0|-1
shock|23|5|0.0001194141438265|13.03173865500754|NNP|NN|0|shock|37.8720215451129|20.76902668039518|1|0|0|1|0|1|0|0|1|0|-1
shoot|9|5|4.672727367125805e-05|14.38537560962224|VB|VB|0|shoot|55.17065923127954|25.678649562361556|1|0|0|1|0|1|0|0|0|0|-1
shout|11|5|5.711111226487095e-05|14.095868992427254|VB|VB|0|shout|60.53766662220867|29.75227586571677|1|0|0|0|0|0|0|0|1|0|0
sing|77|4|0.000399777785854|11.288514070369647|VBG|VB|0|sing|166.84672854377416|46.71459824944622|0|1|0|0|1|0|1|1|0|1|1
sir|9|3|4.672727367125805e-05|14.38537560962224|NNP|NN|0|sir|24.93410970956636|14.672312790735724|0|0|0|0|0|0|1|0|0|1|1
sore|4|4|2.0767677187225803e-05|15.55530061106455|RB|RB|0|sore|31.58532961563977|17.90293372386559|1|0|0|0|0|1|0|1|0|0|-1
spoil|5|5|2.595959648403225e-05|15.23337251617719|NN|VB|0|spoil|17.792664807819882|10.951466861932795|0|0|1|0|0|1|0|0|0|0|-1
star|34|4|0.0001765252560914|12.467837769814212|NN|NN|0|star|103.07533324441734|38.53264253036819|0|1|0|0|1|0|1|0|0|1|1
starry|5|6|2.595959648403225e-05|15.23337251617719|NNP|NN|0|starri|17.792664807819882|10.951466861932795|0|1|0|0|1|0|1|0|0|0|1
steal|31|5|0.0001609494982009|12.601104300677676|VB|VB|0|steal|98.75078256521326|37.35729912472311|1|0|0|1|0|1|0|1|0|0|-1
stone|47|5|0.0002440202069499|12.000711759386911|NN|NN|0|stone|115.5843146037548|41.50455173143354|1|0|0|0|0|1|0|0|0|0|-1
strike|5|6|2.595959648403225e-05|15.23337251617719|NN|VB|0|strike|31.58532961563977|17.90293372386559|1|0|0|0|0|1|0|0|0|0|-1
struggle|5|8|2.595959648403225e-05|15.23337251617719|NN|VB|0|struggl|37.8720215451129|20.76902668039518|1|0|0|1|0|1|0|1|0|0|-1
sucker|44|6|0.0002284444490594|12.095868992427254|NN|NN|0|sucker|9.89633240390994|6.475733430966398|1|0|0|0|0|1|0|0|0|0|-1
sun|176|3|0.0009137777962379|10.095868992427254|NN|NN|0|sun|239.3665084980854|43.7998878458317|0|1|0|0|1|0|1|0|1|1|1
suppress|27|8|0.0001401818210137|12.800413108901084|VB|VB|0|suppress|17.792664807819882|10.951466861932795|1|0|0|1|0|1|0|1|0|0|-1
surrender|10|9|5.19191929680645e-05|14.23337251617719|VB|VB|0|surrend|55.17065923127954|27.80586744773118|0|0|0|1|0|1|0|1|0|0|-1
surround|4|8|2.0767677187225803e-05|15.55530061106455|IN|IN|0|surround|24.93410970956636|14.672312790735724|0|1|0|0|0|1|1|0|0|0|0
swear|20|5|0.0001038383859361|13.23337251617719|VBP|VB|0|swear|70.8059086379991|33.17931993562011|0|0|0|0|0|0|1|0|0|1|1
sweet|42|5|0.0002180606104658|12.162983188285793|JJ|JJ|0|sweet|135.0932098299901|43.75173617194039|0|1|0|0|1|0|1|0|1|1|1
sympathy|21|8|0.0001090303052329|13.162983188285793|NN|NN|0|sympathi|60.53766662220867|29.75227586571677|0|0|0|0|0|0|1|1|0|0|1
teach|13|5|6.749495085848386e-05|13.854860892923458|VB|VB|0|teach|60.53766662220867|27.80586744773118|0|0|0|0|1|0|1|0|1|1|1
terrible|37|8|0.0001921010139818|12.345847245435602|JJ|JJ|0|terribl|43.86821941913272|20.76902668039518|1|0|1|1|0|1|0|1|0|0|-1
top|14|3|7.268687015529031e-05|13.747945689006947|NN|NN|0|top|75.73643883826543|33.17931993562011|0|1|0|0|0|0|1|0|0|1|1
tough|17|5|8.826262804570965e-05|13.467837769814212|JJ|JJ|0|tough|65.7440430902258|29.75227586571677|0|0|0|0|0|1|0|1|0|0|-1
trembling|6|9|3.11515157808387e-05|14.970338110343397|VBG|VB|0|trembl|37.8720215451129|20.76902668039518|0|0|0|1|0|1|0|0|0|0|-1
true|80|4|0.0004153535437445|11.23337251617719|JJ|JJ|0|true|204.0619469549183|47.23419728306216|0|0|0|0|1|0|1|0|0|1|1
truth|75|5|0.0003893939472604|11.32648192056867|NN|NN|0|truth|195.2236345519964|47.1676507379652|0|0|0|0|0|0|1|0|0|1|1
ugly|5|4|2.595959648403225e-05|15.23337251617719|RB|RB|0|ugli|31.58532961563977|17.90293372386559|0|0|1|0|0|1|0|0|0|0|-1
understanding|4|13|2.0767677187225803e-05|15.55530061106455|JJ|JJ|0|understand|24.93410970956636|14.672312790735724|0|0|0|0|0|0|1|0|0|1|1
untie|6|5|3.11515157808387e-05|14.970338110343397|VB|VB|0|unti|9.89633240390994|6.475733430966398|0|0|0|0|1|1|1|0|0|0|0
versus|21|6|0.0001090303052329|13.162983188285793|NN|NN|0|versu|31.58532961563977|17.90293372386559|1|0|0|0|0|1|0|0|0|0|-1
wait|117|4|0.0006074545577263|10.684935891481146|VB|VB|0|wait|231.6162162154764|46.152213443161415|0|1|0|0|0|1|0|0|0|0|-1
war|70|3|0.0003634343507764|11.426017594119584|NN|NN|0|war|103.07533324441734|39.61173489546236|0|0|0|1|0|1|0|0|0|0|-1
wasted|29|6|0.0001505656596073|12.697319615936978|VBN|VB|0|wast|85.24568474593272|36.07881826672897|1|0|1|0|0|1|0|0|0|0|-1
watch|105|5|0.0005451515261646|10.841055093398428|VB|VB|0|watch|228.98273898373088|46.152213443161415|0|1|0|1|0|0|0|0|0|0|0
wear|38|4|0.0001972929332786|12.307373097620966|VBP|VB|0|wear|123.57372030061735|42.32831243293344|0|0|0|0|0|1|0|0|0|1|-1
white|75|5|0.0003893939472604|11.32648192056867|JJ|JJ|0|white|189.1686292075096|47.06528506073638|0|1|0|0|1|0|1|0|0|1|1
wild|57|4|0.0002959393999179|11.72241059689981|JJ|JJ|0|wild|142.49136949186544|44.35863987124021|0|0|0|0|0|1|0|0|1|0|-1
winner|25|6|0.0001297979824201|12.911444421289826|NNP|NN|0|winner|37.8720215451129|20.76902668039518|0|1|0|0|1|0|1|0|1|0|1
words|72|5|0.00037381818937|11.38537560962224|NNS|NN|0|word|201.14744060123476|46.914820639325946|1|0|0|0|0|1|0|0|0|0|-1
worn|2|4|1.03838385936129e-05|16.555300611064553|VBN|VB|0|worn|17.792664807819882|10.951466861932795|0|0|0|0|0|1|0|1|0|0|-1
worse|29|5|0.0001505656596073|12.697319615936978|JJR|JJ|0|wors|75.73643883826543|33.17931993562011|0|0|0|1|0|1|0|1|0|0|-1
young|59|5|0.0003063232385115|11.67265756170271|JJ|JJ|0|young|131.3119053533804|42.32831243293344|0|1|0|0|1|0|1|0|1|0|1
youth|44|5|0.0002284444490594|12.095868992427254|NN|NN|0|youth|60.53766662220867|29.75227586571677|1|1|0|1|1|0|1|0|1|0|1
