term_str|n|n_chars|p|i|max_pos|max_pos_group|stop|porter_stem|song_dfidf|album_dfidf
afin|1|4|5.191919296806451e-06|17.555300611064553|NNP|NN|0|afin|9.896332403909941|6.475733430966398
afloat|7|6|3.6343435077645156e-05|14.747945689006947|IN|IN|0|afloat|17.792664807819882|10.951466861932795
aflowin|1|7|5.191919296806451e-06|17.555300611064553|VBP|VB|0|aflowin|9.896332403909941|6.475733430966398
afraid|76|6|0.00039458586655729026|11.307373097620966|JJ|NN|0|afraid|153.20621889921506|44.89994392291585
after|73|5|0.0003790101086668709|11.365476052184533|IN|IN|1|after|186.0899963709662|47.06528506073638
after|73|5|0.0003790101086668709|11.365476052184533|IN|IN|1|after|186.0899963709662|47.06528506073638
afterglow|2|9|1.0383838593612901e-05|16.555300611064553|NN|NN|0|afterglow|9.896332403909941|6.475733430966398
aftermath|2|9|1.0383838593612901e-05|16.555300611064553|NN|NN|0|aftermath|9.896332403909941|6.475733430966398
afternoon|20|9|0.000103838385936129|13.23337251617719|NN|NN|0|afternoon|43.868219419132714|23.344625581471448
again|220|5|0.0011422222452974191|9.773940897539891|RB|RB|1|again|325.2476214135217|37.42919649889244
again|220|5|0.0011422222452974191|9.773940897539891|RB|RB|1|again|325.2476214135217|37.42919649889244
