album_id|song_num|term_str|n|max_pos|song_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment|tfidf
11|7|luck|1|NN|75.73643883826543|0.0|0.5737609002898897|0.0|0.0|0.5737609002898897|0.0|0.5737609002898897|0.0|0.5737609002898897|0.5737609002898897
11|7|pay|1|VB|123.57372030061735|0.0|0.488433677077539|0.0|0.0|0.488433677077539|0.0|0.0|0.488433677077539|0.488433677077539|0.488433677077539
11|7|save|1|VB|182.9761723609032|0.0|0.0|0.0|0.0|0.4158549371838708|0.0|0.0|0.4158549371838708|0.4158549371838708|0.4158549371838708
11|7|swim|1|VB|65.7440430902258|0.0|0.5976731190020527|0.0|0.5976731190020527|0.5976731190020527|0.0|0.0|0.0|0.5976731190020527|0.5976731190020527
11|7|vacation|1|NN|17.792664807819882|0.0|0.8087574912645401|0.0|0.0|0.8087574912645401|0.0|0.0|0.0|0.8087574912645401|0.8087574912645401
11|7|waste|1|NN|111.4880861804516|0.0|0.0|0.5067640280929617|0.0|0.0|0.0|0.0|0.0|-0.5067640280929617|0.5067640280929617
11|7|whimper|1|NN|9.89633240390994|0.0|0.0|0.0|0.899666582173631|0.0|0.899666582173631|0.0|0.0|0.0|0.899666582173631
11|7|word|1|NN|111.4880861804516|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.5067640280929617|0.5067640280929617|0.5067640280929617
12|0|absence|1|NN|37.8720215451129|0.0|0.0|0.0|0.3606859194772657|0.0|0.3606859194772657|0.0|0.0|-0.3606859194772657|0.3606859194772657
12|0|cry|2|NN|220.92583331537736|0.0|0.0|0.0|0.0|0.0|0.3969916142234992|0.0|0.0|-0.3969916142234992|0.3969916142234992
12|0|darkness|1|NN|85.24568474593272|0.2899513086596351|0.0|0.0|0.2899513086596351|0.0|0.2899513086596351|0.0|0.0|-0.2899513086596351|0.2899513086596351
