album_id|term_str|n|tfidf|max_pos|album_dfidf|anger|anticipation|disgust|fear|joy|sadness|surprise|trust|sentiment
9|wait|1|0.0092304426886322|VB|46.152213443161415|0.0|0.0092304426886322|0.0|0.0|0.0|0.0|0.0|0.0|-0.0092304426886322
10|aching|2|0.0821978307604242|VBG|14.672312790735724|0.0|0.0|0.0|0.0|0.0|0.0821978307604242|0.0|0.0|-0.0821978307604242
10|alive|1|0.0140199874698217|JJ|46.71459824944622|0.0|0.0140199874698217|0.0|0.0|0.0140199874698217|0.0|0.0|0.0140199874698217|0.0140199874698217
10|altercation|1|0.0544179279913142|NN|6.475733430966398|0.0544179279913142|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.0544179279913142
10|baby|10|0.0854035136411009|NN|44.71727974248042|0.0|0.0|0.0|0.0|0.0854035136411009|0.0|0.0|0.0|0.0854035136411009
10|bad|3|0.0360841843262507|JJ|47.23419728306216|0.0360841843262507|0.0|0.0360841843262507|0.0360841843262507|0.0|0.0360841843262507|0.0|0.0|-0.0360841843262507
10|beautiful|3|0.0542976135145975|JJ|43.07610672158071|0.0|0.0|0.0|0.0|0.0542976135145975|0.0|0.0|0.0|0.0542976135145975
10|beauty|1|0.0326955540356743|NN|23.344625581471448|0.0|0.0|0.0|0.0|0.0326955540356743|0.0|0.0|0.0|0.0326955540356743
10|birth|1|0.0376112053022386|NN|17.90293372386559|0.0|0.0376112053022386|0.0|0.0376112053022386|0.0376112053022386|0.0|0.0|0.0376112053022386|0.0376112053022386
10|black|9|0.0928592710731538|JJ|46.65662486586687|0.0|0.0|0.0|0.0|0.0|0.0928592710731538|0.0|0.0|-0.0928592710731538
10|brother|1|0.0253470740531857|NN|33.17931993562011|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0253470740531857|0.0253470740531857
10|child|5|0.0968827071228607|NN|41.50455173143354|0.0|0.0968827071228607|0.0|0.0|0.0968827071228607|0.0|0.0|0.0|0.0968827071228607
10|count|1|0.023321795906095|NN|36.07881826672897|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.023321795906095|0.023321795906095
