term_str|PC0|PC1|PC2|PC3|PC4|PC5|PC6|PC7|PC8|PC9
beach|0.02221390973108618|0.027083328618944417|0.010812558299157539|-0.0011607333288885058|0.010363068724730381|0.020291891768992033|-0.03801690296106538|-0.013616232763316482|0.01229683221118174|0.011702768656424
beacon|0.007019471202258502|0.004610618642884456|-0.0048435860026988685|0.009867234486586792|-0.04040585455809062|0.01400223898309911|-0.0317868358665895|0.021497905536625915|-0.007574946861407377|0.014601601283088052
beast|0.04869521061823111|0.03586570813389189|0.04979539771395262|0.043965861953160754|-0.15854714648307477|-0.03547205963361227|-0.057833344818039006|0.00011620003212164595|0.062349609772331435|-0.03891310431510579
beat|-0.0006893738057312647|-0.02700076228292346|-0.0002834590670496022|-0.02209774471345635|-0.008930212068411818|0.02152843823419021|0.027635497336816292|-0.0017713961037249034|4.972269304231677e-05|0.0037085376943287217
beats|-0.016992580005971654|-0.023487654220523943|0.02881637222760081|0.007288734182316309|0.03189997910704541|-0.0798491647409739|-0.002371686584652445|0.06218128411298723|-0.017599077174796265|0.02324413757718934
beauty|0.02342256514871286|-0.005393404775166203|0.009837978846865346|-0.01638134095711817|-0.008818512662837216|-0.017416351699367748|0.04889064412048533|0.01615430575283521|-0.01572209051211918|0.006768128616435629
beckoning|-0.0037170539232817324|0.0026023975015369767|-0.009928274291765724|-0.005082800053654954|0.0037280312536334347|-0.018537523001557633|-0.00584133260554858|-0.008402242642805407|-0.0005983055847540513|-0.007656828483597079
bed|0.048195090467625955|0.0001840811490772679|-0.04382146475974106|-0.03866828515561161|-0.037691713706923875|-0.000975151974422237|0.007113765893704556|0.02481652293237633|-0.025618862569207902|0.00950120720780635
bedroom|0.02364351115572351|0.01344540616588014|-0.00831082204129243|-0.0026711483448752303|-0.012895110907917265|-0.021014669357451818|0.009238157902517107|0.01187005972858764|-0.011426696786671584|0.0042911347297526665
beds|-0.010816578189756818|0.009918745361652808|-0.013851854290300029|0.016472806816836036|-0.014043397140069993|-0.0029140854865645736|0.022970213173738933|-0.006969409282433548|-0.05605867585619531|0.018080472199969593
beginners|-0.00846830446907675|0.006848392061619677|-0.012938875222541274|0.01804779763824208|-0.006875576781302578|-4.962813200799082e-06|0.01787857465092078|-0.00400906470688726|-0.04688837657979618|0.018002132538857022
beginning|0.04636996314976364|0.06437433027876324|0.01621011546021193|0.0025188790107271257|0.0002825555218769222|0.019908616476301953|-0.002247070687283744|0.0051966132421829405|0.004764121002506458|0.022683482404478504
beginnings|0.015234683871692897|0.01695424604669567|0.022076387026956443|-0.008968814748267249|0.006945182280824153|-7.392669055250253e-05|0.004856481170745564|-0.013948271188187382|0.022709086142496705|-0.016769247792033603
bein|-0.0015380192560020126|-0.00015023631060127676|0.011667619449235068|0.030645917704954187|-0.06819310082905518|0.023569315462610926|-0.02179979230177903|0.02423397022598223|-0.005544803255934135|0.029276996140261337
believer|0.003439995515352802|-0.0652938650231171|0.020668376674676282|0.03233931724631457|0.03369445019081845|-0.04798747457708003|0.05351045273427426|-0.026992511337930188|0.06728522172280967|0.05110546400717991
believing|0.038552163073118505|0.019607629936314843|3.712585839234315e-05|0.03172977618611109|0.0228063300205572|0.00820199241377373|0.00544080313652923|0.01624724351846493|-0.011216727140871997|-0.008615045036615424
bell|0.024727741457649173|0.027271704913657744|0.016700980168641293|0.003150859711814391|-0.012163749375594274|0.00427425310928364|8.323577374043378e-05|0.015347524881451788|0.016369276184659862|-0.009903827019094041
